Access 46: ['0', '1', '3', '7', '15']
Access 47: ['0', '0', '2', '6', '14']
Access 48: ['0', '1', '4', '9', '20']
Access 49: ['0', '1', '3', '7', '15']
Access 50: ['0', '1', '4', '9', '19']
Access 51: ['0', '0', '2', '6', '13']
Access 52: ['0', '0', '1', '4', '10']
Access 53: ['0', '0', '2', '6', '14']
Access 54: ['0', '0', '2', '5', '11']
Access 55: ['0', '1', '4', '10', '22']
Access 56: ['0', '1', '3', '8', '18']
Access 57: ['0', '0', '1', '4', '10']
Access 58: ['0', '1', '4', '9', '19']
Access 59: ['0', '0', '2', '6', '13']
Access 60: ['0', '1', '3', '7', '16']
Access 61: ['0', '1', '4', '10', '21']
Access 62: ['0', '1', '4', '9', '19']
Access 63: ['0', '0', '2', '6', '14']
Access 64: ['0', '2', '5', '11', '23']
Access 65: ['0', '1', '4', '9', '20']
Access 66: ['0', '0', '2', '6', '13']
Access 67: ['0', '1', '3', '7', '15']
Access 68: ['0', '0', '1', '4', '10']
Access 69: ['0', '0', '1', '4', '10']
Access 70: ['0', '1', '3', '7', '15']
Access 71: ['0', '1', '4', '10', '22']
Access 72: ['0', '1', '4', '10', '22']
Access 73: ['0', '0', '1', '4', '9']
Access 74: ['0', '1', '3', '7', '16']
Access 75: ['0', '2', '5', '11', '24']
Access 76: ['0', '0', '2', '5', '11']
Access 77: ['0', '1', '3', '7', '15']
Access 78: ['0', '0', '2', '5', '11']
Access 79: ['0', '0', '1', '4', '10']
Access 80: ['0', '0', '1', '4', '10']
Access 81: ['0', '0', '1', '4', '10']
Access 82: ['0', '1', '3', '8', '17']
Access 83: ['0', '1', '3', '8', '17']
Access 84: ['0', '1', '4', '10', '22']
Access 85: ['0', '0', '1', '4', '10']
Access 86: ['0', '0', '1', '4', '10']
Access 87: ['0', '0', '1', '4', '10']
Access 88: ['0', '2', '5', '11', '23']
Access 89: ['0', '0', '2', '5', '12']
Access 90: ['0', '1', '3', '8', '17']
Access 91: ['0', '0', '1', '4', '9']
Access 92: ['0', '2', '5', '11', '23']
Access 93: ['0', '0', '2', '6', '14']
Access 94: ['0', '1', '4', '9', '19']
Access 95: ['0', '0', '2', '6', '14']
Access 96: ['0', '1', '3', '7', '15']
Access 97: ['0', '1', '3', '8', '17']
Access 98: ['0', '1', '4', '10', '22']
Access 99: ['0', '0', '2', '6', '14']
Access 100: ['0', '1', '4', '9', '20']


*******************************************

Access 1: ['0', '1', '4', '9', '19']
Access 2: ['0', '1', '3', '7', '16']
Access 3: ['0', '1', '3', '7', '16']
Access 4: ['0', '0', '2', '6', '13']
Access 5: ['0', '1', '4', '9', '20']
Access 6: ['0', '0', '2', '5', '12']
Access 7: ['0', '0', '2', '5', '11']
Access 8: ['0', '0', '2', '6', '13']
Access 9: ['0', '1', '4', '10', '22']
Access 10: ['0', '1', '4', '9', '19']
Access 11: ['0', '0', '2', '6', '13']
Access 12: ['0', '0', '1', '4', '10']
Access 13: ['0', '1', '4', '10', '22']
Access 14: ['0', '1', '3', '8', '17']
Access 15: ['0', '1', '3', '7', '16']
Access 16: ['0', '1', '4', '9', '20']
